"Transaction List by Vendor"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"Date","Transaction Type","No.","Vendor","Due Date","Terms","Memo/Description","Amount","Open Balance","Account"
"02/11/2025","Bill","INV-2025-0001","Georgia Power","03/13/2025","Net 30","Georgia Power - February service","1,291.43","0.00","Repairs & Maintenance"
"05/12/2025","Bill","INV-2025-0002","Georgia Power","06/11/2025","Net 30","Georgia Power - May service","95.14","0.00","Utilities:Electric"
"08/02/2025","Bill","INV-2025-0003","Georgia Power","09/01/2025","Net 30","Georgia Power - August service","1,324.95","1,324.95","Utilities:Electric"
"09/07/2025","Bill","INV-2025-0004","Georgia Power","10/07/2025","Net 30","Georgia Power - September service","603.34","603.34","Office Supplies"
"02/08/2025","Bill","INV-2025-0005","Davis Plumbing","03/10/2025","Due on receipt","Davis Plumbing - February service","1,721.18","1,721.18","Utilities:Electric"
"08/08/2025","Bill","INV-2025-0006","Davis Plumbing","09/07/2025","Due on receipt","Davis Plumbing - August service","755.41","0.00","Insurance"
"11/10/2025","Bill","INV-2025-0007","Davis Plumbing","12/10/2025","Due on receipt","Davis Plumbing - November service","434.52","0.00","Insurance"
"07/18/2025","Bill","INV-2025-0008","SiteOne Landscape Supply","08/17/2025","Net 15","SiteOne Landscape Supply - July service","2,249.80","2,249.80","Insurance"
"09/29/2025","Bill","INV-2025-0009","SiteOne Landscape Supply","10/29/2025","Net 15","SiteOne Landscape Supply - September service","2,479.84","0.00","Insurance"
"12/05/2025","Bill","INV-2025-0010","SiteOne Landscape Supply","01/04/2026","Net 15","SiteOne Landscape Supply - December service","908.44","0.00","Utilities:Electric"
"12/24/2025","Bill","INV-2025-0011","SiteOne Landscape Supply","01/23/2026","Net 15","SiteOne Landscape Supply - December service","1,072.63","1,072.63","Repairs & Maintenance"
"04/18/2025","Bill","INV-2025-0012","Johnson Insurance Agency","05/18/2025","Due on receipt","Johnson Insurance Agency - April service","637.74","0.00","Utilities:Electric"
"07/14/2025","Bill","INV-2025-0013","Johnson Insurance Agency","08/13/2025","Due on receipt","Johnson Insurance Agency - July service","2,344.49","0.00","Utilities:Electric"
"07/17/2025","Bill","INV-2025-0014","Johnson Insurance Agency","08/16/2025","Due on receipt","Johnson Insurance Agency - July service","2,606.69","2,606.69","Insurance"
"08/01/2025","Bill","INV-2025-0015","Johnson Insurance Agency","08/31/2025","Due on receipt","Johnson Insurance Agency - August service","1,353.38","0.00","Utilities:Electric"
"01/02/2025","Bill","INV-2025-0016","Peach State Fuel","02/01/2025","Net 15","Peach State Fuel - January service","2,606.73","2,606.73","Insurance"
"01/26/2025","Bill","INV-2025-0017","Peach State Fuel","02/25/2025","Net 15","Peach State Fuel - January service","1,913.56","0.00","Insurance"
"02/22/2025","Bill","INV-2025-0018","Peach State Fuel","03/24/2025","Net 15","Peach State Fuel - February service","1,042.82","1,042.82","Office Supplies"
"07/25/2025","Bill","INV-2025-0019","Peach State Fuel","08/24/2025","Net 15","Peach State Fuel - July service","2,072.03","0.00","Utilities:Electric"
"02/18/2025","Bill","INV-2025-0020","Georgia Power","03/20/2025","Net 30","Georgia Power - February service","928.08","928.08","Utilities:Electric"
"03/31/2025","Bill","INV-2025-0021","Georgia Power","04/30/2025","Net 30","Georgia Power - March service","2,886.16","2,886.16","Office Supplies"
"09/03/2025","Bill","INV-2025-0022","Georgia Power","10/03/2025","Net 30","Georgia Power - September service","388.85","388.85","Repairs & Maintenance"
