"Account List"
"Sample CPA Firm"
"As of March 04, 2026"

"Account","Type","Detail Type","Description","Balance","Currency","Account #"
"Checking","Bank","Checking","1000","20,474.53","USD",""
"Savings","Bank","Savings","1010","3,975.76","USD",""
"Accounts Receivable (A/R)","Accounts Receivable (A/R)","Accounts Receivable (A/R)","1100","33,892.99","USD",""
"Undeposited Funds","Other Current Assets","Undeposited Funds","1200","3,455.17","USD",""
"Prepaid Insurance","Other Current Assets","Prepaid Expenses","1300","15,893.90","USD",""
"Vehicles","Fixed Assets","Vehicles","1500","24,603.27","USD",""
"Equipment","Fixed Assets","Machinery & Equipment","1510","21,660.43","USD",""
"Accumulated Depreciation","Fixed Assets","Accumulated Depreciation","1520","-35,770.78","USD",""
"Accounts Payable (A/P)","Accounts Payable (A/P)","Accounts Payable (A/P)","2000","-46,592.73","USD",""
"Credit Card","Credit Card","Credit Card","2100","-14,790.86","USD",""
"Payroll Liabilities","Other Current Liabilities","Payroll Tax Payable","2200","38,968.63","USD",""
"Sales Tax Payable","Other Current Liabilities","Sales Tax Payable","2300","27,819.16","USD",""
"Owner's Equity","Equity","Owner's Equity","3000","42,730.21","USD",""
"Retained Earnings","Equity","Retained Earnings","3100","24,666.64","USD",""
"Owner's Draw","Equity","Owner's Equity","3200","39,860.73","USD",""
"Services Revenue","Income","Service/Fee Income","4000","42,376.02","USD",""
"Product Sales","Income","Sales of Product Income","4100","9,988.25","USD",""
"Interest Income","Other Income","Interest Earned","5000","23,142.00","USD",""
"Materials & Supplies","Cost of Goods Sold","Supplies & Materials - COGS","5200","9,595.08","USD",""
"Cost of Labor","Cost of Goods Sold","Cost of labor - COS","5300","30,142.73","USD",""
"Advertising","Expenses","Advertising/Promotional","6000","36,398.51","USD",""
"Auto Expense","Expenses","Auto","6100","15,753.84","USD",""
"Bank Charges","Expenses","Bank Charges & Fees","6200","4,136.10","USD",""
"Insurance","Expenses","Insurance","6300","14,605.75","USD",""
"Office Supplies","Expenses","Office/General Administrative Expenses","6400","8,343.76","USD",""
"Payroll Expenses","Expenses","Payroll Expenses","6500","11,555.82","USD",""
"Rent","Expenses","Rent or Lease of Buildings","6600","11,747.05","USD",""
"Repairs & Maintenance","Expenses","Repair & Maintenance","6700","37,163.75","USD",""
"Utilities:Electric","Expenses","Utilities","6800","29,791.74","USD",""
"Utilities:Water","Expenses","Utilities","6810","40,393.57","USD",""
"Utilities:Internet","Expenses","Utilities","6820","49,435.32","USD",""
"Depreciation Expense","Other Expenses","Depreciation","8000","27,540.01","USD",""
"Ask My Accountant","Expenses","Other Miscellaneous Service Cost","9999","21,804.16","USD",""
"Landscaping Revenue","Income","Service/Fee Income","4010","1,104.96","USD",""
"Mulch & Soil","Cost of Goods Sold","Supplies & Materials - COGS","5210","15,376.28","USD",""
"Equipment Rental","Expenses","Equipment Rental","6710","19,955.42","USD",""
"Fuel","Expenses","Auto","6110","18,482.42","USD",""
"Consulting Revenue","Income","Service/Fee Income","4010","13,466.85","USD",""
"Software Revenue","Income","Sales of Product Income","4110","5,854.67","USD",""
"Cloud Hosting","Expenses","Other Miscellaneous Service Cost","6900","9,849.83","USD",""
"Software Subscriptions","Expenses","Dues & Subscriptions","6910","4,915.41","USD",""
"Bakery Sales","Income","Sales of Product Income","4010","14,491.70","USD",""
"Catering Revenue","Income","Service/Fee Income","4020","26,532.36","USD",""
"Ingredients","Cost of Goods Sold","Supplies & Materials - COGS","5210","18,303.41","USD",""
"Packaging","Cost of Goods Sold","Supplies & Materials - COGS","5220","19,611.73","USD",""
