"Journal"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"Date","Transaction Type","No.","Name","Memo/Description","Account","Debit","Credit"
"01/31/2025","Journal Entry","JE-001","Peachtree Landscaping LLC","Accrue payroll liabilities - January 2025","Payroll Expenses","1,838.05",""
"01/31/2025","Journal Entry","JE-001","Peachtree Landscaping LLC","Accrue payroll liabilities - January 2025","Payroll Liabilities","","1,838.05"
"02/28/2025","Journal Entry","JE-002","Peachtree Landscaping LLC","Accrue payroll liabilities - February 2025","Payroll Expenses","1,136.81",""
"02/28/2025","Journal Entry","JE-002","Peachtree Landscaping LLC","Accrue payroll liabilities - February 2025","Payroll Liabilities","","1,136.81"
"04/30/2025","Journal Entry","JE-003","Peachtree Landscaping LLC","Monthly depreciation - April 2025","Depreciation Expense","331.03",""
"04/30/2025","Journal Entry","JE-003","Peachtree Landscaping LLC","Monthly depreciation - April 2025","Accumulated Depreciation","","331.03"
"05/31/2025","Journal Entry","JE-004","Peachtree Landscaping LLC","Monthly depreciation - May 2025","Depreciation Expense","2,789.06",""
"05/31/2025","Journal Entry","JE-004","Peachtree Landscaping LLC","Monthly depreciation - May 2025","Accumulated Depreciation","","2,789.06"
"07/31/2025","Journal Entry","JE-005","Peachtree Landscaping LLC","Accrue payroll liabilities - July 2025","Payroll Expenses","2,361.42",""
"07/31/2025","Journal Entry","JE-005","Peachtree Landscaping LLC","Accrue payroll liabilities - July 2025","Payroll Liabilities","","2,361.42"
"08/31/2025","Journal Entry","JE-006","Peachtree Landscaping LLC","Accrue payroll liabilities - August 2025","Payroll Expenses","580.50",""
"08/31/2025","Journal Entry","JE-006","Peachtree Landscaping LLC","Accrue payroll liabilities - August 2025","Payroll Liabilities","","580.50"
"09/30/2025","Journal Entry","JE-007","Peachtree Landscaping LLC","Amortize prepaid insurance - September 2025","Insurance","839.60",""
"09/30/2025","Journal Entry","JE-007","Peachtree Landscaping LLC","Amortize prepaid insurance - September 2025","Prepaid Insurance","","839.60"
"10/31/2025","Journal Entry","JE-008","Peachtree Landscaping LLC","Accrue payroll liabilities - October 2025","Payroll Expenses","2,082.95",""
"10/31/2025","Journal Entry","JE-008","Peachtree Landscaping LLC","Accrue payroll liabilities - October 2025","Payroll Liabilities","","2,082.95"
"11/30/2025","Journal Entry","JE-009","Peachtree Landscaping LLC","Monthly depreciation - November 2025","Depreciation Expense","648.55",""
"11/30/2025","Journal Entry","JE-009","Peachtree Landscaping LLC","Monthly depreciation - November 2025","Accumulated Depreciation","","648.55"
"01/31/2025","Journal Entry","JE-010","Atlanta Tech Solutions Inc","Monthly depreciation - January 2025","Depreciation Expense","1,326.19",""
"01/31/2025","Journal Entry","JE-010","Atlanta Tech Solutions Inc","Monthly depreciation - January 2025","Accumulated Depreciation","","1,326.19"
"02/28/2025","Journal Entry","JE-011","Atlanta Tech Solutions Inc","Amortize prepaid insurance - February 2025","Insurance","482.77",""
"02/28/2025","Journal Entry","JE-011","Atlanta Tech Solutions Inc","Amortize prepaid insurance - February 2025","Prepaid Insurance","","482.77"
"03/31/2025","Journal Entry","JE-012","Atlanta Tech Solutions Inc","Amortize prepaid insurance - March 2025","Insurance","1,863.23",""
"03/31/2025","Journal Entry","JE-012","Atlanta Tech Solutions Inc","Amortize prepaid insurance - March 2025","Prepaid Insurance","","1,863.23"
"05/31/2025","Journal Entry","JE-013","Atlanta Tech Solutions Inc","Accrue payroll liabilities - May 2025","Payroll Expenses","1,034.14",""
"05/31/2025","Journal Entry","JE-013","Atlanta Tech Solutions Inc","Accrue payroll liabilities - May 2025","Payroll Liabilities","","1,034.14"
"07/31/2025","Journal Entry","JE-014","Atlanta Tech Solutions Inc","Monthly depreciation - July 2025","Depreciation Expense","2,971.40",""
"07/31/2025","Journal Entry","JE-014","Atlanta Tech Solutions Inc","Monthly depreciation - July 2025","Accumulated Depreciation","","2,971.40"
"08/31/2025","Journal Entry","JE-015","Atlanta Tech Solutions Inc","Accrue payroll liabilities - August 2025","Payroll Expenses","674.47",""
"08/31/2025","Journal Entry","JE-015","Atlanta Tech Solutions Inc","Accrue payroll liabilities - August 2025","Payroll Liabilities","","674.47"
"10/31/2025","Journal Entry","JE-016","Atlanta Tech Solutions Inc","Accrue payroll liabilities - October 2025","Payroll Expenses","2,911.72",""
"10/31/2025","Journal Entry","JE-016","Atlanta Tech Solutions Inc","Accrue payroll liabilities - October 2025","Payroll Liabilities","","2,911.72"
"11/30/2025","Journal Entry","JE-017","Atlanta Tech Solutions Inc","Accrue payroll liabilities - November 2025","Payroll Expenses","902.92",""
"11/30/2025","Journal Entry","JE-017","Atlanta Tech Solutions Inc","Accrue payroll liabilities - November 2025","Payroll Liabilities","","902.92"
"02/28/2025","Journal Entry","JE-018","Savannah Sweets","Accrue payroll liabilities - February 2025","Payroll Expenses","1,581.22",""
"02/28/2025","Journal Entry","JE-018","Savannah Sweets","Accrue payroll liabilities - February 2025","Payroll Liabilities","","1,581.22"
"04/30/2025","Journal Entry","JE-019","Savannah Sweets","Amortize prepaid insurance - April 2025","Insurance","959.38",""
"04/30/2025","Journal Entry","JE-019","Savannah Sweets","Amortize prepaid insurance - April 2025","Prepaid Insurance","","959.38"
"05/31/2025","Journal Entry","JE-020","Savannah Sweets","Accrue payroll liabilities - May 2025","Payroll Expenses","294.66",""
"05/31/2025","Journal Entry","JE-020","Savannah Sweets","Accrue payroll liabilities - May 2025","Payroll Liabilities","","294.66"
"06/30/2025","Journal Entry","JE-021","Savannah Sweets","Monthly depreciation - June 2025","Depreciation Expense","1,009.99",""
"06/30/2025","Journal Entry","JE-021","Savannah Sweets","Monthly depreciation - June 2025","Accumulated Depreciation","","1,009.99"
"10/31/2025","Journal Entry","JE-022","Savannah Sweets","Amortize prepaid insurance - October 2025","Insurance","756.97",""
"10/31/2025","Journal Entry","JE-022","Savannah Sweets","Amortize prepaid insurance - October 2025","Prepaid Insurance","","756.97"
"11/30/2025","Journal Entry","JE-023","Savannah Sweets","Accrue payroll liabilities - November 2025","Payroll Expenses","1,345.93",""
"11/30/2025","Journal Entry","JE-023","Savannah Sweets","Accrue payroll liabilities - November 2025","Payroll Liabilities","","1,345.93"
"12/31/2025","Journal Entry","JE-024","Savannah Sweets","Accrue payroll liabilities - December 2025","Payroll Expenses","810.49",""
"12/31/2025","Journal Entry","JE-024","Savannah Sweets","Accrue payroll liabilities - December 2025","Payroll Liabilities","","810.49"
