"Invoice List"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"Invoice Date","No.","Customer","Due Date","Terms","Memo/Description","Amount","Open Balance","Status"
"02/19/2025","1001","Cobb County HOA","03/21/2025","Net 30","Services for February 2025","8,922.55","8,922.55","Open"
"03/15/2025","1002","Buckhead Residential Group","04/14/2025","Net 30","Services for March 2025","9,461.96","4,257.88","Open"
"05/27/2025","1003","Roswell Garden Estates","06/26/2025","Net 30","Services for May 2025","1,445.13","1,445.13","Overdue"
"07/09/2025","1004","The Greens at Vinings","08/08/2025","Net 30","Services for July 2025","3,014.12","0.00","Paid"
"08/21/2025","1005","Sandy Springs Town Center","09/20/2025","Net 30","Services for August 2025","8,626.16","8,626.16","Overdue"
"08/25/2025","1006","Buckhead Residential Group","09/24/2025","Net 30","Services for August 2025","8,801.34","8,801.34","Open"
"09/13/2025","1007","The Greens at Vinings","10/13/2025","Net 30","Services for September 2025","1,540.06","1,540.06","Open"
"11/03/2025","1008","Roswell Garden Estates","12/03/2025","Net 30","Services for November 2025","1,506.21","0.00","Paid"
"11/08/2025","1009","Cobb County HOA","12/08/2025","Net 30","Services for November 2025","9,056.79","0.00","Paid"
"12/10/2025","1010","Sandy Springs Town Center","01/09/2026","Net 30","Services for December 2025","10,074.83","6,750.14","Open"
"12/23/2025","1011","Cobb County HOA","01/22/2026","Net 30","Services for December 2025","10,703.58","10,703.58","Overdue"
"12/24/2025","1012","Dunwoody Commons HOA","01/23/2026","Net 30","Services for December 2025","5,927.42","5,927.42","Open"
"12/25/2025","1013","Cobb County HOA","01/24/2026","Net 30","Void: Duplicate invoice","0.00","0.00","Voided"
"01/26/2025","1014","Delta Air Lines IT Dept","02/25/2025","Net 30","Services for January 2025","8,608.99","8,608.99","Open"
"02/06/2025","1015","Delta Air Lines IT Dept","03/08/2025","Net 30","Services for February 2025","7,610.05","0.00","Paid"
"02/11/2025","1016","Cox Enterprises","03/13/2025","Net 30","Services for February 2025","10,360.99","0.00","Paid"
"02/28/2025","1017","Georgia-Pacific Corp","03/30/2025","Net 30","Services for February 2025","11,067.11","11,067.11","Overdue"
"03/06/2025","1018","Southern Company","04/05/2025","Net 30","Services for March 2025","3,024.73","3,024.73","Overdue"
"03/27/2025","1019","Piedmont Healthcare","04/26/2025","Net 30","Services for March 2025","11,806.68","0.00","Paid"
"04/06/2025","1020","NCR Corporation","05/06/2025","Net 30","Services for April 2025","1,122.18","0.00","Paid"
"05/18/2025","1021","Equifax Technology Services","06/17/2025","Net 30","Services for May 2025","2,536.16","2,536.16","Open"
"06/13/2025","1022","Equifax Technology Services","07/13/2025","Net 30","Services for June 2025","6,031.15","6,031.15","Open"
"07/08/2025","1023","Cox Enterprises","08/07/2025","Net 30","Services for July 2025","4,743.96","4,743.96","Open"
"10/10/2025","1024","Equifax Technology Services","11/09/2025","Net 30","Services for October 2025","6,070.49","0.00","Paid"
"10/30/2025","1025","Piedmont Healthcare","11/29/2025","Net 30","Services for October 2025","2,022.91","0.00","Paid"
"11/06/2025","1026","Southern Company","12/06/2025","Net 30","Services for November 2025","7,129.24","7,129.24","Open"
"12/06/2025","1027","NCR Corporation","01/05/2026","Net 30","Services for December 2025","7,110.33","7,110.33","Open"
"12/11/2025","1028","Cox Enterprises","01/10/2026","Net 30","Services for December 2025","5,863.50","0.00","Paid"
"04/06/2025","1029","Piedmont Healthcare","05/06/2025","Net 30","Void: Duplicate invoice","0.00","0.00","Voided"
"01/27/2025","1030","The Grey Restaurant","02/26/2025","Net 30","Services for January 2025","1,503.12","0.00","Paid"
"02/01/2025","1031","The Grey Restaurant","03/03/2025","Net 30","Services for February 2025","10,547.65","10,547.65","Overdue"
"04/02/2025","1032","The Grey Restaurant","05/02/2025","Net 30","Services for April 2025","8,781.14","8,781.14","Open"
"04/07/2025","1033","Moon River Brewing Co","05/07/2025","Net 30","Services for April 2025","4,098.16","0.00","Paid"
"04/07/2025","1034","River Street Market","05/07/2025","Net 30","Services for April 2025","3,033.31","0.00","Paid"
"04/21/2025","1035","Forsyth Park Cafe","05/21/2025","Net 30","Services for April 2025","4,096.15","4,096.15","Open"
"04/24/2025","1036","River Street Market","05/24/2025","Net 30","Services for April 2025","3,793.48","0.00","Paid"
"04/26/2025","1037","The Olde Pink House Restaurant","05/26/2025","Net 30","Services for April 2025","3,561.48","0.00","Paid"
"04/30/2025","1038","Moon River Brewing Co","05/30/2025","Net 30","Services for April 2025","4,778.68","0.00","Paid"
"06/03/2025","1039","The Grey Restaurant","07/03/2025","Net 30","Services for June 2025","2,980.88","0.00","Paid"
"06/26/2025","1040","Savannah Visitor Center","07/26/2025","Net 30","Services for June 2025","1,218.11","0.00","Paid"
"07/16/2025","1041","Forsyth Park Cafe","08/15/2025","Net 30","Services for July 2025","4,977.82","4,977.82","Overdue"
"07/19/2025","1042","River Street Market","08/18/2025","Net 30","Services for July 2025","6,064.18","0.00","Paid"
"08/23/2025","1043","The Olde Pink House Restaurant","09/22/2025","Net 30","Services for August 2025","3,899.60","2,378.76","Open"
"12/09/2025","1044","Moon River Brewing Co","01/08/2026","Net 30","Services for December 2025","9,830.85","0.00","Paid"
"12/28/2025","1045","Forsyth Park Cafe","01/27/2026","Net 30","Services for December 2025","8,379.56","0.00","Paid"
"10/08/2025","1046","The Olde Pink House Restaurant","11/07/2025","Net 30","Void: Duplicate invoice","0.00","0.00","Voided"
