"Transaction Detail by Account"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"Date","Transaction Type","No.","Name","Memo/Description","Split","Amount","Balance","Account"
"01/04/2025","Invoice","1001","Cobb County HOA","Invoice for services - January 2025","Landscaping Revenue","875.84","","Accounts Receivable (A/R)"
"01/04/2025","Invoice","1001","Cobb County HOA","Invoice for services - January 2025","Accounts Receivable (A/R)","875.84","","Landscaping Revenue"
"01/13/2025","Invoice","1002","Marietta City Parks","Invoice for services - January 2025","Landscaping Revenue","1,153.29","","Accounts Receivable (A/R)"
"01/13/2025","Invoice","1002","Marietta City Parks","Invoice for services - January 2025","Accounts Receivable (A/R)","1,153.29","","Landscaping Revenue"
"01/14/2025","Journal Entry","JE-1003","Peachtree Landscaping LLC","Amortize prepaid insurance","Prepaid Insurance","1,656.35","","Insurance"
"01/14/2025","Journal Entry","JE-1003","Peachtree Landscaping LLC","Amortize prepaid insurance","Insurance","-1,656.35","","Prepaid Insurance"
"01/16/2025","Check","5374","Davis Plumbing","Direct payment - repairs & maintenance","Repairs & Maintenance","-214.45","","Checking"
"01/16/2025","Check","5374","Davis Plumbing","Direct payment - repairs & maintenance","Checking","214.45","","Repairs & Maintenance"
"01/17/2025","Check","5719","Davis Plumbing","Direct payment - office supplies","Office Supplies","-336.81","","Checking"
"01/17/2025","Check","5719","Davis Plumbing","Direct payment - office supplies","Checking","336.81","","Office Supplies"
"01/23/2025","Bill Payment (Check)","5389","Davis Plumbing","Payment to Davis Plumbing","Accounts Payable (A/P)","-719.59","","Checking"
"01/23/2025","Bill Payment (Check)","5389","Davis Plumbing","Payment to Davis Plumbing","Checking","-719.59","","Accounts Payable (A/P)"
"02/10/2025","Payment","1007","Dunwoody Commons HOA","Payment received","Accounts Receivable (A/R)","6,137.71","","Undeposited Funds"
"02/10/2025","Payment","1007","Dunwoody Commons HOA","Payment received","Undeposited Funds","-6,137.71","","Accounts Receivable (A/R)"
"02/14/2025","Invoice","1008","Marietta City Parks","Invoice for services - February 2025","Landscaping Revenue","7,404.98","","Accounts Receivable (A/R)"
"02/14/2025","Invoice","1008","Marietta City Parks","Invoice for services - February 2025","Accounts Receivable (A/R)","7,404.98","","Landscaping Revenue"
"02/17/2025","Deposit","1009","","Bank deposit","Undeposited Funds","4,752.04","","Checking"
"02/17/2025","Deposit","1009","","Bank deposit","Checking","-4,752.04","","Undeposited Funds"
"02/17/2025","Credit Card Expense","1010","Davis Plumbing","Credit card purchase - office supplies","Office Supplies","220.34","","Credit Card"
"02/17/2025","Credit Card Expense","1010","Peach State Fuel","Credit card purchase - office supplies","Credit Card","220.34","","Office Supplies"
"02/19/2025","Journal Entry","JE-1011","Peachtree Landscaping LLC","Accrue payroll liabilities","Payroll Liabilities","1,388.27","","Payroll Expenses"
"02/19/2025","Journal Entry","JE-1011","Peachtree Landscaping LLC","Accrue payroll liabilities","Payroll Expenses","-1,388.27","","Payroll Liabilities"
