"Vendor Contact List"
"Sample CPA Firm"
"As of March 04, 2026"

"Vendor","Company","Phone","Email","Street","City","State","ZIP","Country","Tax ID","1099 Tracking","Terms","Open Balance"
"Georgia Power","Georgia Power Company","(800) 555-0100","billing@gapower.com","241 Ralph McGill Blvd","Atlanta","GA","30308","US","","No","Net 30","0.00"
"Office Depot","Office Depot Inc","(800) 555-0200","orders@officedepot.com","6600 N Military Trail","Boca Raton","FL","33496","US","","No","Net 30","0.00"
"Davis Plumbing","Davis Plumbing Services","(770) 555-2345","mike@davisplumbing.com","123 Elm St","Kennesaw","GA","30144","US","XX-XXXXX24","Yes","Due on receipt","461.37"
"SiteOne Landscape Supply","SiteOne Landscape Supply LLC","(770) 555-3456","sales@siteone.com","300 Colonial Center Pkwy","Roswell","GA","30076","US","","No","Net 15","238.72"
"Amazon Web Services","Amazon.com Inc","(888) 555-4567","billing@aws.amazon.com","410 Terry Ave N","Seattle","WA","98109","US","","No","Net 30","320.99"
"Sysco Foods","Sysco Corporation","(912) 555-5678","orders@sysco.com","1390 Enclave Pkwy","Houston","TX","77077","US","","No","Net 15","0.00"
"Johnson Insurance Agency","Johnson Insurance LLC","(404) 555-6789","tom@johnsoninsurance.com","3344 Peachtree Rd NE","Atlanta","GA","30326","US","XX-XXXXX48","Yes","Due on receipt","0.00"
"Atlanta Web Design","Atlanta Web Design Co","(678) 555-7890","hello@atlwebdesign.com","100 Centennial Olympic Park Dr","Atlanta","GA","30313","US","XX-XXXXX58","Yes","Net 30","0.00"
"Peach State Fuel","Peach State Fuel Co","(770) 555-8901","accounts@peachstatefuel.com","456 Industrial Blvd","Norcross","GA","30071","US","","No","Net 15","0.00"
"Comcast Business","Comcast Corporation","(800) 555-9012","business@comcast.com","One Comcast Center","Philadelphia","PA","19103","US","","No","Net 30","0.00"
